name,region,year,committee,DirectMatch,FuzzyMatch,Continent,GenderGuesser,Gender,Source
Manos Kapritsos,University of Michigan,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Dejan Kostić,KTH Royal Institute of Technology,2019,Program,,Male,Europe,male,Male,FuzzyMatch
Ramakrishna Kotla,Amazon Web Services,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Arvind Krishnamurthy,University of Washington,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Hongqiang Liu,Alibaba,2019,Program,,Male,Asia,unknown,Male,FuzzyMatch
Harsha V. Madhyastha,University of Michigan and Google,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Dahlia Malkhi,VMware Research,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Allison Mankin,Salesforce,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Derek Murray,Google,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Aurojit Panda,New York University,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
KyoungSoo Park,Korea Advanced Institute of Science and Technology (KAIST),2019,Program,Male,Male,Asia,unknown,Male,FullNameMatch
Amar Phanishayee,Microsoft Research,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Raluca Ada Popa,"University of California, Berkeley",2019,Program,Female,Female,North America,female,Female,FullNameMatch
George Porter,"University of California, San Diego",2019,Program,Male,Male,North America,male,Male,FullNameMatch
Lili Qiu,The University of Texas at Austin,2019,Program,Female,Female,North America,female,Female,FullNameMatch
K. K. Ramakrishnan,"University of California, Riverside",2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Michael Schapira,Hebrew University of Jerusalem,2019,Program,Male,Male,Asia,male,Male,FullNameMatch
Cole Schlesinger,Amazon Web Services,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Vyas Sekar,Carnegie Mellon University,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Ankit Singla,ETH Zurich,2019,Program,Male,Male,Europe,male,Male,FullNameMatch
Anirudh Sivaraman,New York University,2019,Program,Male,Male,North America,unknown,Male,FullNameMatch
Alex C. Snoeren,"University of California, San Diego",2019,Program,Male,Male,North America,male,Male,FullNameMatch
Michael Stumm,University of Toronto,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Ryan Stutsman,University of Utah,2019,Program,Male,Male,North America,mostly_male,Male,FullNameMatch
Geoff Voelker,"University of California, San Diego",2019,Program,Male,Male,North America,male,Male,FullNameMatch
Hakim Weatherspoon,Cornell University,2019,Program,Male,Male,North America,male,Male,FullNameMatch
John Wilkes,Google,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Keith Winstein,Stanford University,2019,Program,Male,Male,North America,male,Male,FullNameMatch
Jie Xiong,University of Massachusetts Amherst,2019,Program,,Male,North America,andy,Male,FuzzyMatch
James Hongyi Zeng,Facebook,2019,Program,,Male,North America,male,Male,FuzzyMatch
Irene Zhang,Microsoft Research,2019,Program,Female,Female,North America,female,Female,FullNameMatch
Xinyu Zhang,"University of California, San Diego",2019,Program,,Male,North America,unknown,Male,FuzzyMatch
Lin Zhong,Rice University,2019,Program,Male,Male,North America,female,Male,FullNameMatch
Rachit Agarwal,Cornell University,2020,Program,,Male,North America,unknown,Male,FuzzyMatch
Aditya Akella,University of Wisconsin—Madison,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Mohammad Alizadeh,Massachusetts Institute of Technology,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Andrea Arpaci-Dusseau,University of Wisconsin—Madison,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Behnaz Arzani,Microsoft Research,2020,Program,Female,Female,North America,unknown,Female,FullNameMatch
Hitesh Ballani,Microsoft Research,2020,Program,Male,Male,Europe,unknown,Male,FullNameMatch
Sujata Banerjee,VMware Research,2020,Program,Female,Female,North America,female,Female,FullNameMatch
Ivan Beschastnikh,University of British Columbia,2020,Program,Male,Male,North America,male,Male,FullNameMatch
Dinesh Bharadia,"University of California, San Diego",2020,Program,Male,Male,North America,male,Male,FullNameMatch
Fabian Bustamante,Northwestern University,2020,Program,,Male,North America,male,Male,FuzzyMatch
