name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear,Gender,Source
Amin Vahdat,"University of California, San Diego",2012,Program,Male,Male,North America,1998,Male,FullNameMatch
Geoff Voelker,"University of California, San Diego",2012,Program,Male,Male,North America,2000,Male,FullNameMatch
Andrew Warfield,University of British Columbia,2012,Program,Male,Male,North America,2006,Male,FullNameMatch
Matt Welsh,Google,2012,Program,Male,Male,North America,2002,Male,FullNameMatch
Xiaowei Yang,Duke University,2012,Program,Female,Female,North America,2004,Female,FullNameMatch
Nickolai Zeldovich,Massachusetts Institute of Technology,2012,Program,Male,Male,North America,2008,Male,FullNameMatch
Aditya Akella,University of Wisconsin—Madison,2013,Program,Male,Male,North America,2005,Male,FullNameMatch
Katerina Argyraki,École Polytechnique Fédérale de Lausanne  (EPFL),2013,Program,,Female,Europe,2007,Female,FuzzyMatch
Suman Banerjee,University of Wisconsin—Madison,2013,Program,Male,Male,North America,2003,Male,FullNameMatch
Matthew Caesar,University of Illinois at Urbana-Champaign,2013,Program,,Male,North America,2007,Male,FuzzyMatch
Jeff Chase,Duke University,2013,Program,Male,Male,North America,1995,Male,FullNameMatch
Rodrigo Fonseca,Brown University,2013,Program,Male,Male,North America,2015,Male,FullNameMatch
Bryan Ford,Yale University,2013,Program,Male,Male,North America,2008,Male,FullNameMatch
Mike Freedman,Princeton University,2013,Program,Male,Male,North America,2007,Male,FullNameMatch
Krishna Gummadi,Max Planck Institute for Software Systems (MPI-SWS),2013,Program,,Male,Europe,2005,Male,FuzzyMatch
Rebecca Isaacs,Microsoft Research,2013,Program,Female,Female,North America,2000,Female,FullNameMatch
Jaeyeon Jung,Microsoft Research,2013,Program,Female,Female,North America,2018,Female,FullNameMatch
Brad Karp,University College London,2013,Program,Male,Male,Europe,2000,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2013,Program,Male,Male,North America,2012,Male,FullNameMatch
Dejan Kostić,Institute IMDEA Networks,2013,Program,,Male,Europe,2005,Male,FuzzyMatch
Arvind Krishnamurthy,University of Washington,2013,Program,Male,Male,North America,1998,Male,FullNameMatch
Wenke Lee,Georgia Institute of Technology,2013,Program,Male,Male,North America,1999,Male,FullNameMatch
Dave Levin,University of Maryland,2013,Program,Male,Male,North America,2010,Male,FullNameMatch
Philip Levis,Stanford University,2013,Program,Male,Male,North America,2005,Male,FullNameMatch
Ratul Mahajan,Microsoft Research,2013,Program,Male,Male,North America,2005,Male,FullNameMatch
James  Mickens,Microsoft Research,2013,Program,,Male,North America,2008,Male,FuzzyMatch
Andrew Moore,University of Cambridge,2013,Program,Male,Male,Europe,2001,Male,FullNameMatch
Richard Mortier,University of Nottingham,2013,Program,Male,Male,Europe,2001,Male,FullNameMatch
Michael Piatek,Google,2013,Program,Male,Male,North America,2009,Male,FullNameMatch
George Porter,"University of California, San Diego",2013,Program,Male,Male,North America,2008,Male,FullNameMatch
Luigi Rizzo,Università di Pisa,2013,Program,Male,Male,Europe,1998,Male,FullNameMatch
Lakshminarayanan Subramanian,New York University,2013,Program,Male,Male,North America,2005,Male,FullNameMatch
Renata Teixeira,CNRS and UPMC Sorbonne Universités,2013,Program,Female,Female,Europe,2005,Female,FullNameMatch
Kobus Van der Merwe,University of Utah,2013,Program,Male,Male,North America,1998,Male,FullNameMatch
Michael Walfish,"University of Texas, Austin",2013,Program,Male,Male,North America,2008,Male,FullNameMatch
Heather Zheng,"University of California, Santa Barbara",2013,Program,Female,Female,North America,1999,Female,FullNameMatch
Katerina Argyraki,EPFL,2014,Program,,Female,Europe,2007,Female,FuzzyMatch
Aruna Balasubramanian,University of Washington,2014,Program,Female,Female,North America,2011,Female,FullNameMatch
Miguel Castro,Microsoft Research Cambridge,2014,Program,Male,Male,North America,2001,Male,FullNameMatch
Prabal Dutta,University of Michigan,2014,Program,Male,Male,North America,2009,Male,FullNameMatch
Mike Freedman,Princeton University,2014,Program,Male,Male,North America,2007,Male,FullNameMatch
Ali  Ghodsi,"KTH Royal Institute of Technology and University of California, Berkeley",2014,Program,,Male,North America,2006,Male,FuzzyMatch
Brighten Godfrey,University of Illinois at Urbana-Champaign,2014,Program,,Male,North America,2009,Male,FuzzyMatch
Sharon Goldberg,Boston University,2014,Program,Female,Female,North America,2009,Female,FullNameMatch
Shyamnath Gollakota,University of Washington,2014,Program,Male,Male,North America,2013,Male,FullNameMatch
Ramesh Govindan,University of Southern California,2014,Program,Male,Male,North America,1992,Male,FullNameMatch
Saikat Guha,Microsoft Research India,2014,Program,Male,Male,Asia,2009,Male,FullNameMatch
Kyle Jamieson,University College London,2014,Program,Male,Male,North America,2008,Male,FullNameMatch
Ethan Katz-Bassett,University of Southern California,2014,Program,Male,Male,North America,2012,Male,FullNameMatch
S. Keshav,University of Waterloo,2014,Program,,Male,North America,1991,Male,FuzzyMatch
Changhoon Kim,Microsoft,2014,Program,Male,Male,North America,2009,Male,FullNameMatch
