name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear
Jeff Dean,Google,2015,Program,Male,Male,NorAm,1996
Prabal Dutta,University of Michigan,2015,Program,Male,Male,NorAm,2009
Nick Feamster,Princeton University,2015,Program,Male,Male,NorAm,2005
Rodrigo Fonseca,Brown University,2015,Program,Male,Male,NorAm,2008
Deepak Ganesan,University of Massachusetts Amherst,2015,Program,Male,Male,NorAm,2004
Sharon Goldberg,Boston University,2015,Program,Female,Female,NorAm,2009
Andreas Haeberlen,University of Pennsylvania,2015,Program,Male,Male,NorAm,2009
Mark Handley,University College London,2015,Program,Male,Male,EU,1997
Jon Howell,Microsoft Research Redmond,2015,Program,Male,Male,NorAm,2000
Jaeyeon Jung,Microsoft Research Redmond,2015,Program,Female,Female,NorAm,2006
Sachin Katti,Stanford University,2015,Program,Male,Male,NorAm,2008
Ethan Katz-Bassett,University of Southern California,2015,Program,Male,Male,NorAm,2012
Kimberly Keeton,HP Labs,2015,Program,Female,Female,NorAm,1999
Changhoon Kim,Barefoot Networks,2015,Program,Male,Male,NorAm,2009
Eddie Kohler,Harvard University,2015,Program,Male,Male,NorAm,2000
Dejan Kostic,KTH Royal Institute of Technology,2015,Program,Male,Male,EU,2005
Kate Lin,Academia Sinica Taiwan,2015,Program,,Female,Asia,2009
David Maltz,Microsoft Redmond,2015,Program,Male,Male,NorAm,2001
Petros Maniatis,Google,2015,Program,Male,Male,NorAm,2003
Alan Mislove,Northeastern University,2015,Program,Male,Male,NorAm,2009
Richard Mortier,University of Nottingham,2015,Program,Male,Male,EU,2001
Dushyanth Narayanan,Microsoft Research Cambridge,2015,Program,Male,Male,EU,2002
Venkat Padmanabhan,Microsoft Research India,2015,Program,,Male,Asia,1998
KyoungSoo Park,KAIST,2015,Program,Male,Male,Asia,2007
George Porter,"University of California, San Diego",2015,Program,Male,Male,NorAm,2008
Rama Ramasubramanian,Google,2015,Program,Male,Male,NorAm,2005
Franzi Roesner,University of Washington,2015,Program,Female,Female,NorAm,2014
Srinivasan Seshan,Carnegie Mellon University,2015,Program,Male,Male,NorAm,1995
Neil Spring,University of Maryland,2015,Program,Male,Male,NorAm,2004
Lakshminarayanan Subramanian,New York University,2015,Program,Male,Male,NorAm,2005
Kobus van der Merwe,University of Utah,2015,Program,,Male,NorAm,1998
Robbert van Renesse,Cornell University,2015,Program,Male,Male,NorAm,1989
Geoff Voelker,"University of California, San Diego",2015,Program,Male,Male,NorAm,2000
Hakim Weatherspoon,Cornell University,2015,Program,Male,Male,NorAm,2006
Matei Zaharia,MIT CSAIL and Databricks,2015,Program,Male,Male,NorAm,2013
Nickolai Zeldovich,MIT CSAIL,2015,Program,Male,Male,NorAm,2008
Lidong Zhou,Microsoft Research Asia,2015,Program,Male,Male,NorAm,2001
Aditya Akella,University of Wisconsin—Madison,2016,Program,Male,Male,NorAm,2005
Mohammad Alizadeh,Massachusetts Institute of Technology,2016,Program,Male,Male,NorAm,2013
Mona Attariyan,Google,2016,Program,Female,Female,NorAm,2012
Hari Balakrishnan,Massachusetts Institute of Technology,2016,Program,Male,Male,NorAm,1998
Mahesh Balakrishnan,Yale University,2016,Program,Male,Male,NorAm,2009
Aruna Balasubramanian,Stony Brook University,2016,Program,Female,Female,NorAm,2011
Sujata Banerjee,HP Labs,2016,Program,Female,Female,NorAm,1993
Paul Barford,University of Wisconsin—Madison and comScore,2016,Program,Male,Male,NorAm,2000
Ranjita Bhagwan,Microsoft Research India,2016,Program,Female,Female,Asia,2004
Nathan Bronson,Facebook,2016,Program,Male,Male,NorAm,2011
Paolo Costa,Microsoft Research,2016,Program,Male,Male,EU,2002
Paul Francis,Max Planck Institute for Software Systems (MPI-SWS),2016,Program,Male,Male,EU,1994
Monia (Manya) Ghobadi,Microsoft Research,2016,Program,Female,Female,NorAm,2013
Shyam Gollakota,University of Washington,2016,Program,Male,Male,NorAm,2013
Jon Howell,Google,2016,Program,Male,Male,NorAm,2000
Kyle Jamieson,Princeton University,2016,Program,Male,Male,NorAm,2008
Srikanth Kandula,Microsoft,2016,Program,Male,Male,NorAm,2008
Brad Karp,University College London,2016,Program,Male,Male,EU,2000
S. Keshav,University of Waterloo,2016,Program,,Male,NorAm,1991
Changhoon Kim,Barefoot Networks,2016,Program,Male,Male,NorAm,2009
Ramakrishna Kotla,Amazon,2016,Program,Male,Male,NorAm,2008
Jinyang Li,New York University,2016,Program,Female,Female,NorAm,2005
David Lie,University of Toronto,2016,Program,Male,Male,NorAm,2004
Kate Ching-Ju Lin,"Academia Sinica, Taiwan",2016,Program,Female,Female,Asia,2009
Wyatt Lloyd,University of Southern California,2016,Program,Male,Male,NorAm,2013
Jay Lorch,Microsoft Research,2016,Program,Male,Male,NorAm,2001
Ratul Mahajan,Microsoft Research,2016,Program,Male,Male,NorAm,2005
Prateek Mittal,Princeton University,2016,Program,,Male,NorAm,2012
Thomas Moscibroda,Microsoft Research,2016,Program,Male,Male,NorAm,2006
David Oran,Cisco Systems,2016,Program,Male,Male,NorAm,?
Oriana Riva,Microsoft Research,2016,Program,Female,Female,NorAm,2007
Vyas Sekar,Carnegie Mellon University,2016,Program,Male,Male,NorAm,2010
Siddhartha Sen,Microsoft Research,2016,Program,,Male,NorAm,2012
Srinivasan Seshan,Carnegie Mellon University,2016,Program,Male,Male,NorAm,1995
Ankit Singla,ETH Zürich,2016,Program,Male,Male,EU,2015
Jonathan Smith,University of Pennsylvania,2016,Program,Male,Male,NorAm,1989
Alex Snoeren,"University of California, San Diego",2016,Program,,Male,NorAm,2002
Kobus Van der Merwe,University of Utah,2016,Program,Male,Male,NorAm,1998
Laurent Vanbever,ETH Zürich,2016,Program,Male,Male,EU,2012
Matt Welsh,Google,2016,Program,Male,Male,NorAm,2002
Sharad Agarwal,Microsoft,2017,Program,Male,Male,NorAm,2004
Thomas E. Anderson,University of Washington,2017,Program,Male,Male,NorAm,1991
Andrea Arpaci-Dusseau,University of Wisconsin—Madison,2017,Program,Female,Female,NorAm,1998
Anirudh Badam,Microsoft,2017,Program,Male,Male,NorAm,2012
Mahesh Balakrishnan,Yale University,2017,Program,Male,Male,NorAm,2009
Fabian Bustamante,Northwestern University,2017,Program,,Male,NorAm,2001
Ranveer Chandra,Microsoft,2017,Program,Male,Male,NorAm,2005
David Choffnes,Northeastern University,2017,Program,Male,Male,NorAm,2010
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,2017,Program,Male,Male,NorAm,2006
Mosharaf Chowdhury,University of Michigan,2017,Program,Male,Male,NorAm,2015
Mike Dahlin,Google,2017,Program,Male,Male,NorAm,1996
Anja Feldmann,Technische Universität Berlin,2017,Program,Female,Female,EU,1995
Rodrigo Fonseca,Brown University,2017,Program,Male,Male,NorAm,2008
Nate Foster,Cornell University,2017,Program,Male,Male,NorAm,2009
Deepak Ganesan,University of Massachusetts Amherst,2017,Program,Male,Male,NorAm,2004
Phillipa Gill,University of Massachusetts Amherst,2017,Program,Female,Female,NorAm,2012
Srikanth Kandula,Microsoft,2017,Program,Male,Male,NorAm,2008
Teemu Koponen,Styra,2017,Program,Male,Male,NorAm,2008
Sanjeev Kumar,Uber,2017,Program,Male,Male,Asia,2002
Swarun Kumar,Carnegie Mellon University,2017,Program,Male,Male,NorAm,2015
Wyatt Lloyd,University of Southern California,2017,Program,Male,Male,NorAm,2013
Boon Thau Loo,University of Pennsylvania,2017,Program,Male,Male,NorAm,2006
Jay Lorch,Microsoft,2017,Program,Male,Male,NorAm,2001
Ratul Mahajan,Microsoft,2017,Program,Male,Male,NorAm,2005
Dahlia Malkhi,VMware,2017,Program,Female,Female,NorAm,1994
David Maltz,Microsoft,2017,Program,Male,Male,NorAm,2001
Z. Morley Mao,University of Michigan,2017,Program,Female,Female,NorAm,2003
Michael Mitzenmacher,Harvard University,2017,Program,Male,Male,NorAm,1996
Jason Nieh,Columbia University,2017,Program,Male,Male,NorAm,1999
George Porter,"University of California, San Diego",2017,Program,Male,Male,NorAm,2008
Luigi Rizzo,University of Pisa,2017,Program,Male,Male,EU,1998
Srini Seshan,Carnegie Mellon University,2017,Program,Male,Male,NorAm,1995
Anees Shaikh,Google,2017,Program,Male,Male,NorAm,1998
Ankit Singla,ETH Zurich,2017,Program,Male,Male,EU,2015
Robbert van Renesse,Cornell University,2017,Program,Male,Male,NorAm,1989
Geoff Voelker,"University of California, San Diego",2017,Program,Male,Male,NorAm,2000
David Wetherall,Google,2017,Program,Male,Male,NorAm,1998
Adam Wierman,California Institute of Technology,2017,Program,Male,Male,NorAm,2007
John Wilkes,Google,2017,Program,Male,Male,NorAm,1982
Minlan Yu,University of Southern California,2017,Program,Female,Female,NorAm,2011
Heather Zheng,"University of California, Santa Barbara",2017,Program,Female,Female,NorAm,1999
Lin Zhong,Rice University,2017,Program,Male,Male,NorAm,2005
Rachit Agarwal,Cornell University,2018,Program,,Male,NorAm,2012
Mohamed Alizadeh,MIT,2018,Program,,Male,NorAm,2013
Katerina Argyraki,EPFL,2018,Program,,Female,EU,2007
Ranjita Bhagwan,Microsoft Research,2018,Program,Female,Female,Asia,2004
Marco Canini,KAUST,2018,Program,Male,Male,Asia,2009
Kai Chen,HKUST,2018,Program,,Male,Asia,2012
Romit Roy Choudhury,University of Illinois at Urbana-Champaign,2018,Program,Male,Male,NorAm,2006
Mike Freedman,Princeton University,2018,Program,Male,Male,NorAm,2007
Roxana Geambasu,Columbia University,2018,Program,Female,Female,NorAm,2011
Shyam Gollakota,University of Washington,2018,Program,Male,Male,NorAm,2013
Ramesh Govindan,USC,2018,Program,Male,Male,NorAm,1992
Dongsu Han,KAIST,2018,Program,Male,Male,Asia,2012
Jon Howell,Google,2018,Program,Male,Male,NorAm,2000
Kyle Jamieson,Princeton University,2018,Program,Male,Male,NorAm,2008
Michael Kaminsky,Intel Labs,2018,Program,Male,Male,NorAm,2004
Srikanth Kandula,Microsoft,2018,Program,Male,Male,NorAm,2008
Srinivas Keshav,University of Waterloo,2018,Program,,Male,EU,1991
Kyu-Han Kim,Hewlett Packard Labs,2018,Program,Male,Male,Asia,2009
Eddie Kohler,Harvard University,2018,Program,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2018,Program,Male,Male,NorAm,1998
Wyatt Lloyd,Princeton University,2018,Program,Male,Male,NorAm,2013
Boon Thau Loo,University of Pennsylvania,2018,Program,Male,Male,NorAm,2006
Jay Lorch,Microsoft,2018,Program,Male,Male,NorAm,2001
Harsha V. Madhyastha,University of Michigan,2018,Program,Male,Male,NorAm,2008
Dahlia Malkhi,VMware Research,2018,Program,Female,Female,NorAm,1994
KyongSoo Park,KAIST,2018,Program,,Male,Asia,2007
Amar Phanishayee,Microsoft Research,2018,Program,Male,Male,NorAm,2012
Raluca Ada Popa,"University of California, Berkeley",2018,Program,Female,Female,NorAm,2014
George Porter,"University of California, San Diego",2018,Program,Male,Male,NorAm,2008
Lili Qiu,UT Austin,2018,Program,Female,Female,NorAm,2001
Costin Raiciu,University Politehnica of Bucharest,2018,Program,Male,Male,EU,2011
Timothy Roscoe,ETH Zurich,2018,Program,Male,Male,EU,1995
Michael Schapira,Hebrew University,2018,Program,Male,Male,Asia,2008
Cole Schlesinger,Barefoot Networks,2018,Program,Male,Male,NorAm,2015
Vyas Sekar,Carnegie Mellon University,2018,Program,Male,Male,NorAm,2010
Emin Gun Sirer,Cornell University,2018,Program,Male,Male,NorAm,2000
Alex C. Snoeren,"University of California, San Diego",2018,Program,Male,Male,NorAm,2002
Hakim Weatherspoon,Cornell University,2018,Program,Male,Male,NorAm,2006
Keith Winstein,Stanford University,2018,Program,Male,Male,NorAm,2014
Timothy Wood 0001,George Washington University,2018,Program,Male,Male,NorAm,2011
Minlan Yu,Yale University,2018,Program,Female,Female,NorAm,2011
Matei Zaharia,Stanford University,2018,Program,Male,Male,NorAm,2013
Lin Zhong,Rice University,2018,Program,Male,Male,NorAm,2005
Fadel Adib,Massachusetts Institute of Technology,2019,Program,Male,Male,NorAm,2016
Aditya Akella,University of Wisconsin—Madison,2019,Program,Male,Male,NorAm,2005
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2019,Program,,Female,EU,2007
Aruna Balasubramanian,Stony Brook University,2019,Program,Female,Female,NorAm,2011
Sujata Banerjee,VMware Research,2019,Program,Female,Female,NorAm,1993
Paul Barham,Google,2019,Program,Male,Male,NorAm,1996
