name,region,year,committee,DirectMatch,FuzzyMatch,Continent,ApproximateDoctoralGradYear
Brian Noble,University of Michigan,2018,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2018,Steering,Male,Male,EU,1995
Alex C. Snoeren,"University of California, San Diego",2018,Steering,Male,Male,NorAm,2002
Aditya Akella,University of Wisconsin–Madison,2019,Steering,Male,Male,NorAm,2005
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2019,Steering,,Female,EU,2007
Sujata Banerjee,VMware Research,2019,Steering,Female,Female,NorAm,1993
Paul Barham,Google,2019,Steering,Male,Male,NorAm,1996
Nick Feamster,Princeton University,2019,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2019,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2019,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2019,Steering,Male,Male,NorAm,1998
Jeff Mogul,Google,2019,Steering,Male,Male,NorAm,1986
Brian Noble,University of Michigan,2019,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2019,Steering,Male,Male,EU,1995
Srinivasan Seshan,Carnegie Mellon University,2019,Steering,Male,Male,NorAm,1995
Aditya Akella,University of Wisconsin–Madison,2020,Steering,Male,Male,NorAm,2005
Katerina Argyraki,École Polytechnique Fédérale de Lausanne (EPFL),2020,Steering,,Female,EU,2007
Sujata Banerjee,VMware Research,2020,Steering,Female,Female,NorAm,1993
Paul Barham,Google,2020,Steering,Male,Male,NorAm,1996
Nick Feamster,University of Chicago,2020,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2020,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2020,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2020,Steering,Male,Male,NorAm,1998
Jay Lorch,Microsoft Research,2020,Steering,Male,Male,NorAm,2001
Jeff Mogul,Google,2020,Steering,Male,Male,NorAm,1986
Brian Noble,University of Michigan,2020,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2020,Steering,Male,Male,EU,1995
Srinivasan Seshan,Carnegie Mellon University,2020,Steering,Male,Male,NorAm,1995
Minlan Yu,Harvard University,2020,Steering,Female,Female,NorAm,2011
Aditya Akella,University of Wisconsin–Madison,2021,Steering,Male,Male,NorAm,2005
Sujata Banerjee,VMware Research,2021,Steering,Female,Female,NorAm,1993
Paul Barham,Google,2021,Steering,Male,Male,NorAm,1996
Nick Feamster,University of Chicago,2021,Steering,Male,Male,NorAm,2005
Casey Henderson,USENIX Association,2021,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2021,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2021,Steering,Male,Male,NorAm,1998
Jay Lorch,Microsoft Research,2021,Steering,Male,Male,NorAm,2001
Jeff Mogul,Google,2021,Steering,Male,Male,NorAm,1986
Brian Noble,University of Michigan,2021,Steering,Male,Male,NorAm,1998
Timothy Roscoe,ETH Zurich,2021,Steering,Male,Male,EU,1995
Srinivasan Seshan,Carnegie Mellon University,2021,Steering,Male,Male,NorAm,1995
Minlan Yu,Harvard University,2021,Steering,Female,Female,NorAm,2011
Aditya Akella,University of Wisconsin–Madison,2022,Steering,Male,Male,NorAm,2005
Sujata Banerjee,VMware Research,2022,Steering,Female,Female,NorAm,1993
Ranjita Bhagwan,Microsoft Research India,2022,Steering,Female,Female,Asia,2004
Casey Henderson,USENIX Association,2022,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2022,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2022,Steering,Male,Male,NorAm,1998
Jay Lorch,Microsoft Research,2022,Steering,Male,Male,NorAm,2001
James Mickens,Harvard University,2022,Steering,Male,Male,NorAm,2008
Jeff Mogul,Google,2022,Steering,Male,Male,NorAm,1986
George Porter,"University of California, San Diego",2022,Steering,Male,Male,NorAm,2008
Timothy Roscoe,ETH Zurich,2022,Steering,Male,Male,EU,1995
Srinivasan Seshan,Carnegie Mellon University,2022,Steering,Male,Male,NorAm,1995
Renata Teixeira,Netflix,2022,Steering,Female,Female,EU,2005
Minlan Yu,Harvard University,2022,Steering,Female,Female,NorAm,2011
Aditya Akella,The University of Texas at Austin,2023,Steering,Male,Male,NorAm,2005
Sujata Banerjee,VMware Research,2023,Steering,Female,Female,NorAm,1993
Ranjita Bhagwan,Microsoft Research India,2023,Steering,Female,Female,Asia,2004
Casey Henderson,USENIX Association,2023,Steering,Female,Female,NorAm,None
Jon Howell,VMware Research,2023,Steering,Male,Male,NorAm,2000
Arvind Krishnamurthy,University of Washington,2023,Steering,Male,Male,NorAm,1998
Jay Lorch,Microsoft Research,2023,Steering,Male,Male,NorAm,2001
James Mickens,Harvard University,2023,Steering,Male,Male,NorAm,2008
Amar Phanishayee,Microsoft Research,2023,Steering,Male,Male,NorAm,2012
George Porter,"University of California, San Diego",2023,Steering,Male,Male,NorAm,2008
Vyas Sekar,Carnegie Mellon University,2023,Steering,Male,Male,NorAm,2010
Renata Teixeira,Netflix,2023,Steering,Female,Female,EU,2005
Minlan Yu,Harvard University,2023,Steering,Female,Female,NorAm,2011
