name,region,year,committee
Kate Lin,National Chiao Tung University,2022,Program
Zaoxing Alan Liu,Boston University,2022,Program
Jay Lorch,Microsoft Research,2022,Program
Jonathan Mace,Max Planck Institute for Software Systems (MPI-SWS),2022,Program
Harsha Madhyastha,University of Michigan,2022,Program
Aurojit Panda,New York University,2022,Program
Kyoongsoo Park,Korea Advanced Institute of Science and Technology (KAIST),2022,Program
Chunyi Peng,Purdue University,2022,Program
Ben Pfaff,VMware Research,2022,Program
George Porter,"University of California, San Diego",2022,Program
Costin Raiciu,University Politehnica of Bucharest and Correct Networks,2022,Program
Robert Ricci,University of Utah,2022,Program
Michael Schapira,The Hebrew University of Jerusalem,2022,Program
Stefan Schmid,Technische Universität Berlin and University of Vienna,2022,Program
Brent Stephens,University of Utah,2022,Program
Laurent Vanbever,ETH Zurich,2022,Program
Shivaram Venkataraman,University of Wisconsin—Madison,2022,Program
David Walker,Princeton University,2022,Program
Jia Wang,AT&T Labs,2022,Program
Michael Wei,VMware Research,2022,Program
John Wilkes,Google,2022,Program
Xiaowei Yang,Duke University,2022,Program
Minlan Yu,Harvard University,2022,Program
Ellen Zegura,Georgia Institute of Technology,2022,Program
Ying Zhang,Facebook,2022,Program
Yiying Zhang,"University of California, San Diego",2022,Program
Ben Zhao,University of Chicago,2022,Program
Wenting Zheng,Carnegie Mellon University,2022,Program
Lin Zhong,Yale University,2022,Program
Danyang Zhuo,Duke University,2022,Program
Sangeetha Abdu-Jyothi,"University of California, Irvine, and VMware Research",2023,Program
Fadel Adib,Massachusetts Institute of Technology,2023,Program
Rachit Agarwal,Cornell University,2023,Program
Aditya Akella,The University of Texas at Austin,2023,Program
Deniz Altinbuken,Google,2023,Program
Ganesh Ananthanarayanan,Microsoft Research,2023,Program
Maria Apostolaki,Princeton University,2023,Program
Katerina Argyraki,EPFL,2023,Program
Behnaz Arzani,Microsoft Research,2023,Program
Adam Belay,Massachusetts Institute of Technology,2023,Program
Ken Birman,Cornell University,2023,Program
Matthew Caesar,University of Illinois at Urbana–Champaign,2023,Program
Marco Canini,KAUST,2023,Program
Ranveer Chandra,Microsoft Research,2023,Program
Ang Chen,Rice University,2023,Program
Paolo Costa,Microsoft Research,2023,Program
Murat Demirbas,Amazon,2023,Program
Nandita Dukkipati,Google,2023,Program
Ramakrishnan Durairajan,University of Oregon,2023,Program
Giuila Fanti,Carnegie Mellon University,2023,Program
Anja Feldmann,Max Planck Institute for Informatics,2023,Program
Bryan Ford,EPFL,2023,Program
Yashar Ganjali,"University of Toronto, Huawei Canada",2023,Program
Mojgan Ghasemi,Google,2023,Program
Yasaman Ghasempour,Princeton University,2023,Program
Soudeh Ghorbani,Johns Hopkins University,2023,Program
Shyam Gollakota,University of Washington,2023,Program
Prateesh Goyal,Microsoft Research,2023,Program
Arpit Gupta,"University of California, Santa Barbara",2023,Program
Indranil Gupta,University of Illinois at Urbana–Champaign,2023,Program
Hamed Haddadi,Imperial College London,2023,Program
Andreas Haeberlen,University of Pennsylvania,2023,Program
Dongsu Han,Korea Advanced Institute of Science and Technology (KAIST),2023,Program
Haitham Hassanieh,University of Illinois at Urbana–Champaign,2023,Program
Michio Honda,University of Edinburgh,2023,Program
Jon Howell,VMware Research,2023,Program
Wenjun Hu,Yale University,2023,Program
Rebecca Isaacs,Amazon,2023,Program
Anand Iyer,Microsoft Research,2023,Program
Vikram Iyer,University of Washington,2023,Program
Zhihao Jia,Carnegie Mellon University,2023,Program
Junchen Jiang,University of Chicago,2023,Program
Xin Jin,Peking University,2023,Program
Srikanth Kandula,Microsoft Research,2023,Program
Sachin Katti,Stanford University,2023,Program
Anurag Khandelwal,Yale University,2023,Program
Song Min Kim,Korea Advanced Institute of Science and Technology (KAIST),2023,Program
Marios Kogias,Imperial College London,2023,Program
Dejan Kostic,KTH Royal Institute of Technology,2023,Program
Gautam Kumar,Google,2023,Program
Jeongkeun Lee,Intel,2023,Program
